Estimator,relationship,Relatedness_Value,,,,
QGM,Unrelated,0.077,0,,,
QGM,Unrelated,-0.0118,0,,,
QGM,Unrelated,-0.0553,0,,,
QGM,Unrelated,0.0499,0,,,
QGM,Unrelated,0.2533,0,,,
QGM,Unrelated,-0.2126,0,,,
QGM,Unrelated,0.0741,0,,,
QGM,Unrelated,0.225,0,,,
QGM,Unrelated,0.1717,0,,,
QGM,Unrelated,0.3997,0,,,
QGM,Unrelated,0.007,0,,,
QGM,Unrelated,0.0877,0,,,
QGM,Unrelated,0.0287,0,,,
QGM,Unrelated,0.0259,0,,,
QGM,Unrelated,0.1607,0,,,
QGM,Unrelated,-0.2088,0,,,
QGM,Unrelated,-0.0179,0,,,
QGM,Unrelated,-0.2715,0,,,
QGM,Unrelated,0.0099,0,,,
QGM,Unrelated,-0.0316,0,,,
QGM,Unrelated,0.1759,0,,,
QGM,Unrelated,-0.0309,0,,,
QGM,Unrelated,-0.0349,0,,,
QGM,Unrelated,-0.1935,0,,,
QGM,Unrelated,0.1542,0,,,
QGM,Unrelated,-0.2887,0,,,
QGM,Unrelated,0.0711,0,,,
QGM,Unrelated,0.1508,0,,,
QGM,Unrelated,0.1939,0,,,
QGM,Unrelated,-0.1002,0,,,
QGM,Unrelated,0.2273,0,,,
QGM,Unrelated,0.0303,0,,,
QGM,Unrelated,-0.063,0,,,
QGM,Unrelated,-0.176,0,,,
QGM,Unrelated,0.0601,0,,,
QGM,Unrelated,-0.0517,0,,,
QGM,Unrelated,-0.489,0,,,
QGM,Unrelated,-0.1152,0,,,
QGM,Unrelated,0.109,0,,,
QGM,Unrelated,-0.1742,0,,,
QGM,Unrelated,-0.1519,0,,,
QGM,Unrelated,0.2513,0,,,
QGM,Unrelated,0.1975,0,,,
QGM,Unrelated,-0.0179,0,,,
QGM,Unrelated,0.0575,0,,,
QGM,Unrelated,-0.2192,0,,,
QGM,Unrelated,-0.0711,0,,,
QGM,Unrelated,-0.0225,0,,,
QGM,Unrelated,-0.2813,0,,,
QGM,Unrelated,-0.2117,0,,,
QGM,Unrelated,-0.0251,0,,,
QGM,Unrelated,0.0697,0,,,
QGM,Unrelated,-0.2587,0,,,
QGM,Unrelated,-0.0623,0,,,
QGM,Unrelated,-0.1118,0,,,
QGM,Unrelated,-0.0222,0,,,
QGM,Unrelated,0.1878,0,,,
QGM,Unrelated,-0.0402,0,,,
QGM,Unrelated,-0.0693,0,,,
QGM,Unrelated,0.1544,0,,,
QGM,Unrelated,0.1207,0,,,
QGM,Unrelated,0.1713,0,,,
QGM,Unrelated,-0.0594,0,,,
QGM,Unrelated,-0.3004,0,,,
QGM,Unrelated,0.0811,0,,,
QGM,Unrelated,0.0747,0,,,
QGM,Unrelated,-0.2897,0,,,
QGM,Unrelated,-0.129,0,,,
QGM,Unrelated,-0.1018,0,,,
QGM,Unrelated,0.0425,0,,,
QGM,Unrelated,0.0688,0,,,
QGM,Unrelated,0.0483,0,,,
QGM,Unrelated,0.0504,0,,,
QGM,Unrelated,0.0127,0,,,
QGM,Unrelated,-0.0815,0,,,
QGM,Unrelated,-0.1446,0,,,
QGM,Unrelated,0.0697,0,,,
QGM,Unrelated,0.2009,0,,,
QGM,Unrelated,0.2088,0,,,
QGM,Unrelated,-0.1555,0,,,
QGM,Unrelated,0.221,0,,,
QGM,Unrelated,-0.151,0,,,
QGM,Unrelated,-0.0385,0,,,
QGM,Unrelated,-0.1194,0,,,
QGM,Unrelated,-0.1636,0,,,
QGM,Unrelated,0.0468,0,,,
QGM,Unrelated,8.00E-04,0,,,
QGM,Unrelated,0.0732,0,,,
QGM,Unrelated,-0.0602,0,,,
QGM,Unrelated,0.0699,0,,,
QGM,Unrelated,0.2093,0,,,
QGM,Unrelated,-0.0423,0,,,
QGM,Unrelated,0.0799,0,,,
